,team,epa,auto_epa,teleop_epa,endgame_epa,rp_1_epa,rp_2_epa
50684,7790,34.04,12.78,15.5,5.76,0.0023,0.3284
50685,7155,16.47,1.39,9.01,6.07,-0.1167,0.0535
50686,910,42.31,13.85,22.98,5.48,-0.0388,0.4282
50687,6091,16.37,3.17,5.25,7.95,-0.2153,0.1109
50688,7794,22.84,6.18,8.93,7.72,-0.0558,0.26
50689,5247,17.8,4.47,6.59,6.74,-0.2365,0.2374
50690,3603,32.44,8.47,17.18,6.79,0.1295,0.2724
50691,1711,38.06,12.39,16.09,9.58,0.0312,0.4907
50692,2246,21.63,10.69,5.87,5.07,-0.1251,0.3235
50693,7244,30.09,10.92,10.15,9.02,-0.0656,0.5663
50694,6121,21.27,5.35,11.3,4.62,-0.1582,0.1152
50695,5562,8.86,3.64,0.24,4.97,-0.2462,-0.015
50696,3767,44.24,11.23,27.76,5.25,0.0195,0.4467
50697,5501,12.28,3.76,3.89,4.63,-0.1731,0.105
50698,5110,23.27,9.01,8.11,6.15,-0.2074,0.1415
50699,5504,10.97,4.47,4.52,1.99,-0.2004,-0.0024
50700,8041,16.56,4.43,6.9,5.23,-0.1769,0.0662
50701,4377,34.8,8.26,20.97,5.56,-0.158,0.1063
50702,6963,23.37,5.71,10.59,7.06,-0.0933,0.2023
50703,6122,17.05,3.94,8.74,4.37,-0.2028,-0.1155
50704,7808,16.22,6.0,5.53,4.69,-0.2216,0.04
50705,6098,24.47,7.37,11.13,5.97,-0.0277,0.3423
50706,3618,31.06,7.6,18.39,5.07,0.0118,0.1494
50707,8611,8.02,0.92,3.95,3.16,-0.2364,-0.0877
50708,6091,14.24,4.33,2.91,7.0,-0.2183,0.0517
50709,7155,14.34,2.55,6.67,5.12,-0.1197,-0.0057
50710,5183,8.63,1.36,3.97,3.3,-0.2396,0.0002
50711,4983,36.49,8.45,17.31,10.73,0.082,0.4253
50712,7790,35.36,12.4,17.19,5.78,-0.0053,0.3551
50713,3603,32.76,8.05,17.04,7.67,0.1229,0.2978
